Name,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County,Year
"Phillips County, Colorado",1668,982,313,331,2,0,9,0,23,8,8,95,2018
"Archuleta County, Colorado",5670,2337,1711,563,0,10,922,66,39,22,8,7,2018
"Denver County, Colorado",294358,199139,3577,84775,342,8,332,684,3055,2446,8,31,2018
"Kiowa County, Colorado",593,381,123,66,0,0,16,0,4,3,8,61,2018
"Huerfano County, Colorado",3282,1165,1045,500,0,0,523,23,21,5,8,55,2018
"Baca County, Colorado",1642,1114,335,155,0,0,16,5,17,0,8,9,2018
"Gilpin County, Colorado",2653,1261,378,545,27,0,390,0,52,0,8,47,2018
"Kit Carson County, Colorado",2977,2035,486,374,0,0,22,0,46,14,8,63,2018
"Gunnison County, Colorado",6643,3196,783,1788,14,26,742,43,42,9,8,51,2018
"Mineral County, Colorado",375,24,150,72,0,0,119,5,5,0,8,79,2018
"Ouray County, Colorado",2194,943,606,284,0,0,322,24,9,6,8,91,2018
"Sedgwick County, Colorado",1017,585,222,190,2,0,10,0,8,0,8,115,2018
"Weld County, Colorado",102101,75693,7689,16088,145,16,1135,319,665,351,8,123,2018
"Custer County, Colorado",2083,60,1034,296,0,8,593,77,12,3,8,27,2018
"Costilla County, Colorado",1687,131,716,155,86,0,491,6,102,0,8,23,2018
"Douglas County, Colorado",117426,91437,3219,21737,26,0,377,185,251,194,8,35,2018
"Lake County, Colorado",3353,1883,389,583,91,7,355,0,45,0,8,65,2018
"La Plata County, Colorado",21793,10489,5184,3310,27,121,2160,206,235,61,8,67,2018
"Pitkin County, Colorado",7018,3570,471,2706,7,0,217,0,33,14,8,97,2018
"Rio Grande County, Colorado",4504,1720,904,800,12,0,943,78,41,6,8,105,2018
"Bent County, Colorado",1744,1136,349,146,0,11,90,0,12,0,8,11,2018
